page,status,message
api-reference/policies/policies/policy-business-rule,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-client-ban,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-clear-text,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-content-filter,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-decryption,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-digital-sign,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-digital-sign-verification,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-digest,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-encryption,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-group,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-jose-implementation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-jose-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-json-schema-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-json-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-jwt,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-max-message-size,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-min-message-size,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-mtls,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-oidc,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-oauth2,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-redaction,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-request-protocol-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-response-protocol-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-saml-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-script,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-time-restriction,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-white-ip,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-decrypt,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-encrypt,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-from-target,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-sign,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-sign-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-timestamp,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-to-target,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-username,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-xml-schema-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-xml-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-email,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-kafka,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-elasticsearch,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-rabbitmq,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-ftp,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-graylog,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-syslog,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-webhook,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-logback,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-activemq,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-snmp,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-linux-script,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-database,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-ldap,INVALID_PATH,Path does not start with tr/ or en/
api-reference/credentials,INVALID_PATH,Path does not start with tr/ or en/
api-reference/credentials/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/credentials/access,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/list-jwks,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/get-jwk,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/create-jwk,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/update-jwk,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/delete-jwk,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/generate-jwk,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/parse-jwk-from-url,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/parse-jwk-from-clipboard,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/parse-jwk-from-certificate,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/parse-jwk-from-key,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/parse-jwk-from-keystore,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/list-keystores,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/get-keystore,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/create-keystore,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/update-keystore,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/delete-keystore,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/list-keys,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/get-key,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/create-key,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/update-key,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/delete-key,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/list-certificates,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/get-certificate,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/create-certificate,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/update-certificate,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/delete-certificate,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/export-certificate,INVALID_PATH,Path does not start with tr/ or en/
api-reference/keys-secrets/crud/get-truststore-certificates,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxy-groups,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxy-groups/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxy-groups/deployment,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxy-groups/api-proxies,INVALID_PATH,Path does not start with tr/ or en/
api-reference/environment-variables,INVALID_PATH,Path does not start with tr/ or en/
api-reference/environment-variables/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/ip-groups,INVALID_PATH,Path does not start with tr/ or en/
api-reference/ip-groups/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/ip-groups/ips,INVALID_PATH,Path does not start with tr/ or en/
api-reference/rlcl,INVALID_PATH,Path does not start with tr/ or en/
api-reference/rlcl/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/rlcl/endpoints,INVALID_PATH,Path does not start with tr/ or en/
api-reference/rlcl/condition,INVALID_PATH,Path does not start with tr/ or en/
api-reference/rlcl/credentials,INVALID_PATH,Path does not start with tr/ or en/
api-reference/geolocation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/geolocation/enable-geolocation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/geolocation/disable-geolocation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/geolocation/upload-mmdb-file,INVALID_PATH,Path does not start with tr/ or en/
api-reference/reports,INVALID_PATH,Path does not start with tr/ or en/
api-reference/reports/api-report,INVALID_PATH,Path does not start with tr/ or en/
api-reference/reports/organization-api-data-model-access-report,INVALID_PATH,Path does not start with tr/ or en/
api-reference/test,INVALID_PATH,Path does not start with tr/ or en/
api-reference/test/healthcheck,INVALID_PATH,Path does not start with tr/ or en/
api-reference/test/secure-hello,INVALID_PATH,Path does not start with tr/ or en/
api-reference/appendix,INVALID_PATH,Path does not start with tr/ or en/
api-reference/appendix/glossary,INVALID_PATH,Path does not start with tr/ or en/
api-reference/appendix/variable-definition,INVALID_PATH,Path does not start with tr/ or en/
api-reference/appendix/enum-reference,INVALID_PATH,Path does not start with tr/ or en/
api-reference/appendix/openapi-spec,INVALID_PATH,Path does not start with tr/ or en/
en/setup/kubernetes/argocd-version-management,MISSING_FILE,File not found: en/setup/kubernetes/argocd-version-management.mdx
en/setup/elasticsearch/ubuntu-elasticsearch-8-17-10,MISSING_FILE,File not found: en/setup/elasticsearch/ubuntu-elasticsearch-8-17-10.mdx
en/develop/monitoring-analysis/operation-records,MISSING_FILE,File not found: en/develop/monitoring-analysis/operation-records.mdx
en/admin/identity-management/api-proxy-grup-acl,MISSING_FILE,File not found: en/admin/identity-management/api-proxy-grup-acl.mdx
en/admin/server-management/api-manager'i-SSL-ile-baslatma,MISSING_FILE,File not found: en/admin/server-management/api-manager'i-SSL-ile-baslatma.mdx
en/admin/secrets-management/ozel-anahtar-yonetimi,MISSING_FILE,File not found: en/admin/secrets-management/ozel-anahtar-yonetimi.mdx
en/admin/secrets-management/keystore-yonetimi,MISSING_FILE,File not found: en/admin/secrets-management/keystore-yonetimi.mdx
en/admin/secrets-management/jwks-yapilandirma,MISSING_FILE,File not found: en/admin/secrets-management/jwks-yapilandirma.mdx
en/admin/project-management/proje-genel-ayarlari,MISSING_FILE,File not found: en/admin/project-management/proje-genel-ayarlari.mdx
en/admin/project-management/proje-uyeleri,MISSING_FILE,File not found: en/admin/project-management/proje-uyeleri.mdx
en/admin/system-settings/global-yapilandirma,MISSING_FILE,File not found: en/admin/system-settings/global-yapilandirma.mdx
en/admin/system-settings/on-tanimli-degerler/cors-basliklari,MISSING_FILE,File not found: en/admin/system-settings/on-tanimli-degerler/cors-basliklari.mdx
en/admin/system-settings/on-tanimli-degerler/cors-orijin-degerleri,MISSING_FILE,File not found: en/admin/system-settings/on-tanimli-degerler/cors-orijin-degerleri.mdx
en/admin/system-settings/on-tanimli-degerler/filtre-kurallari,MISSING_FILE,File not found: en/admin/system-settings/on-tanimli-degerler/filtre-kurallari.mdx
en/admin/system-settings/on-tanimli-degerler/http-istek-baslik-adlari,MISSING_FILE,File not found: en/admin/system-settings/on-tanimli-degerler/http-istek-baslik-adlari.mdx
en/admin/system-settings/on-tanimli-degerler/http-istek-baslik-degerleri,MISSING_FILE,File not found: en/admin/system-settings/on-tanimli-degerler/http-istek-baslik-degerleri.mdx
en/admin/system-settings/on-tanimli-degerler/byte-array-content-types,MISSING_FILE,File not found: en/admin/system-settings/on-tanimli-degerler/byte-array-content-types.mdx
en/admin/system-settings/ldap-ile-giris-ayarlari,MISSING_FILE,File not found: en/admin/system-settings/ldap-ile-giris-ayarlari.mdx
en/admin/system-settings/lisans-yonetimi,MISSING_FILE,File not found: en/admin/system-settings/lisans-yonetimi.mdx
en/admin/system-settings/hata-mesajlari,MISSING_FILE,File not found: en/admin/system-settings/hata-mesajlari.mdx
en/admin/system-settings/ip-geolocation-ayari,MISSING_FILE,File not found: en/admin/system-settings/ip-geolocation-ayari.mdx
en/admin/zamanlanmis-isler,MISSING_FILE,File not found: en/admin/zamanlanmis-isler.mdx
en/api-portal/api-portal-ayarlari,MISSING_FILE,File not found: en/api-portal/api-portal-ayarlari.mdx
en/api-portal/gorunum-tema,MISSING_FILE,File not found: en/api-portal/gorunum-tema.mdx
en/api-portal/api-urunu,MISSING_FILE,File not found: en/api-portal/api-urunu.mdx
en/api-portal/api-urun-kategorileri,MISSING_FILE,File not found: en/api-portal/api-urun-kategorileri.mdx
en/api-portal/hesaplar-gelistiriciler,MISSING_FILE,File not found: en/api-portal/hesaplar-gelistiriciler.mdx
en/api-portal/onay-istekleri,MISSING_FILE,File not found: en/api-portal/onay-istekleri.mdx
en/api-portal/uygulama-yonetimi,MISSING_FILE,File not found: en/api-portal/uygulama-yonetimi.mdx
en/operations/administrator-guides/ssl-tls-apinizer-modulleri-baslatma,MISSING_FILE,File not found: en/operations/administrator-guides/ssl-tls-apinizer-modulleri-baslatma.mdx
en/operations/administrator-guides/kubernetes-ingress-apinizer-erisimi,MISSING_FILE,File not found: en/operations/administrator-guides/kubernetes-ingress-apinizer-erisimi.mdx
en/operations/administrator-guides/mongodb-otomatik-yedekleme,MISSING_FILE,File not found: en/operations/administrator-guides/mongodb-otomatik-yedekleme.mdx
en/operations/administrator-guides/pfx-jks-donusturme,MISSING_FILE,File not found: en/operations/administrator-guides/pfx-jks-donusturme.mdx
en/operations/administrator-guides/pod-thread-sayisi-periyodik-izleme,MISSING_FILE,File not found: en/operations/administrator-guides/pod-thread-sayisi-periyodik-izleme.mdx
en/setup/kubernetes/argocd-version-management,MISSING_FILE,File not found: en/setup/kubernetes/argocd-version-management.mdx
en/tutorials/api-analytics-and-observability-scenarios/kibana-api-trafik-log-visualization,MISSING_FILE,File not found: en/tutorials/api-analytics-and-observability-scenarios/kibana-api-trafik-log-visualization.mdx
en/tutorials/how-to-guides/developer-guides/groovy-usage/api-call-xml-to-json-message-creation,MISSING_FILE,File not found: en/tutorials/how-to-guides/developer-guides/groovy-usage/api-call-xml-to-json-message-creation.mdx
api-reference/getting-started/overview,INVALID_PATH,Path does not start with tr/ or en/
api-reference/getting-started/overview-details,INVALID_PATH,Path does not start with tr/ or en/
api-reference/getting-started/authentication,INVALID_PATH,Path does not start with tr/ or en/
api-reference/getting-started/base-url,INVALID_PATH,Path does not start with tr/ or en/
api-reference/getting-started/error-handling,INVALID_PATH,Path does not start with tr/ or en/
api-reference/overview,INVALID_PATH,Path does not start with tr/ or en/
api-reference/auth,INVALID_PATH,Path does not start with tr/ or en/
api-reference/projects,INVALID_PATH,Path does not start with tr/ or en/
api-reference/projects/list-projects,INVALID_PATH,Path does not start with tr/ or en/
api-reference/environments,INVALID_PATH,Path does not start with tr/ or en/
api-reference/environments/list-environments,INVALID_PATH,Path does not start with tr/ or en/
api-reference/environments/get-environments-by-project,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxies,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxies/deployment,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxies/deployment/deploy-api-proxy,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxies/deployment/undeploy-api-proxy,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxies/endpoints,INVALID_PATH,Path does not start with tr/ or en/
api-reference/api-proxies/settings,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/crud/list-policies,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/crud/add-policy,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/crud/update-policy,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/crud/delete-policy,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-api-authentication,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-api-based-quota,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-api-based-throttling,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-api-call,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-basic,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-black-ip,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-business-rule,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-client-ban,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-clear-text,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-content-filter,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-decryption,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-digital-sign,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-digital-sign-verification,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-digest,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-encryption,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-group,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-jose-implementation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-jose-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-json-schema-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-json-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-jwt,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-max-message-size,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-min-message-size,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-mtls,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-oidc,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-auth-oauth2,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-redaction,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-request-protocol-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-response-protocol-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-saml-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-script,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-time-restriction,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-white-ip,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-decrypt,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-encrypt,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-from-target,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-sign,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-sign-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-timestamp,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-to-target,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-ws-security-username,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-xml-schema-validation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/policies/policies/policy-xml-transformation,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/crud,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-email,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-kafka,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-elasticsearch,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-rabbitmq,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-ftp,INVALID_PATH,Path does not start with tr/ or en/
api-reference/connections/connections/connection-graylog,INVALID_PATH,Path does not start with tr/ or en/
